name,lon,lat
Ahmedabad,72.5701904296875,23.034242642076585
Delhi,77.2119140625,28.613459424004414
Bangalore,77.6513671875,12.983147716796578
Bangalore,77.2119140625,13.025965926333539
Chandigarh,76.75048828125,30.712913657488656
Chennai,80.28465270996094,13.07011445259898
Cuttack,85.869140625,20.406420474920292
Dharamsala,76.32064819335938,32.21163915464704
Hyderabad,78.47946166992188,17.374231311336153
Indore,75.9375,22.755920681486405
Jaipur,75.849609375,26.78484736105119
Kanpur,80.31005859375,26.45090222367262
Kolkata,88.2861328125,22.553147478403194
Kochi,84.35989379882811,21.753122381956054
Mumbai,72.8173828125,18.895892559415024
Nagpur,79.07958984375,21.105000275382064
Pune,73.8720703125,18.417078658661257
Ranchi,85.31982421875,23.33216830631147
Visakhapatnam,83.3203125,17.66495983051931
Rajkot,70.83572387695312,22.297990905053123
Raipur,86.06333255767822,22.88412248626077
Ahmedabad,72.5701904296875,23.034242642076585
Delhi,77.2119140625,28.613459424004414
Bangalore,77.6513671875,12.983147716796578
Bangalore,77.2119140625,13.025965926333539
Chandigarh,76.75048828125,30.712913657488656
Chennai,80.28465270996094,13.07011445259898
Cuttack,85.869140625,20.406420474920292
Dharamsala,76.32064819335938,32.21163915464704
Hyderabad,78.47946166992188,17.374231311336153
Indore,75.9375,22.755920681486405
Jaipur,75.849609375,26.78484736105119
Kanpur,80.31005859375,26.45090222367262
Kolkata,88.2861328125,22.553147478403194
Kochi,84.35989379882811,21.753122381956054
Mumbai,72.8173828125,18.895892559415024
Nagpur,79.07958984375,21.105000275382064
Pune,73.8720703125,18.417078658661257
Ranchi,85.31982421875,23.33216830631147
Visakhapatnam,83.3203125,17.66495983051931
Rajkot,70.83572387695312,22.297990905053123
Raipur,86.06333255767822,22.88412248626077
